accession	year	month	date	Bases	LibrarySource	rel_to_oxygen
SRR1427728	2010	10	04	3611515780	METAGENOMIC	aerobe
SRR1427729	2010	10	04	8295779032	METATRANSCRIPTOMIC	aerobe
SRR1046369	2011	01	25	3028076812	METAGENOMIC	NA
SRR1046681	2011	01	25	3331665386	METATRANSCRIPTOMIC	NA
SRR9006558	2011	03	21	7199949400	METAGENOMIC	anaerobe
SRR9006571	2011	03	21	7195060200	METATRANSCRIPTOMIC	anaerobe
SRR9006511	2011	03	29	6827035000	METAGENOMIC	anaerobe
SRR9006522	2011	03	29	6782443000	METATRANSCRIPTOMIC	anaerobe
SRR9006560	2011	04	05	5781648600	METAGENOMIC	anaerobe
SRR9006565	2011	04	05	7718490800	METATRANSCRIPTOMIC	anaerobe
SRR9006519	2011	04	14	7279134800	METATRANSCRIPTOMIC	anaerobe
SRR9006548	2011	04	14	5837453600	METAGENOMIC	anaerobe
SRR9006520	2011	04	21	6790825400	METATRANSCRIPTOMIC	anaerobe
SRR9006547	2011	04	21	5064044400	METAGENOMIC	anaerobe
SRR9006557	2011	04	29	6074367600	METAGENOMIC	anaerobe
SRR9006568	2011	04	29	5936324400	METATRANSCRIPTOMIC	anaerobe
SRR9006526	2011	05	06	5624541000	METAGENOMIC	anaerobe
SRR9006577	2011	05	06	6823287200	METATRANSCRIPTOMIC	anaerobe
SRR9006495	2011	05	13	7178896400	METATRANSCRIPTOMIC	anaerobe
SRR9006582	2011	05	13	6234788600	METAGENOMIC	anaerobe
SRR9006561	2011	05	20	5130381800	METAGENOMIC	anaerobe
SRR9006564	2011	05	20	5541550400	METATRANSCRIPTOMIC	anaerobe
SRR9006513	2011	05	27	5473902800	METATRANSCRIPTOMIC	anaerobe
SRR9006555	2011	05	27	6047156400	METAGENOMIC	anaerobe
SRR9006507	2011	06	03	6043327400	METAGENOMIC	anaerobe
SRR9006535	2011	06	03	6486175200	METATRANSCRIPTOMIC	anaerobe
SRR9006514	2011	06	09	6066317600	METATRANSCRIPTOMIC	anaerobe
SRR9006545	2011	06	09	5499484400	METAGENOMIC	anaerobe
SRR9006553	2011	06	17	5460650000	METAGENOMIC	anaerobe
SRR9006566	2011	06	17	6908871800	METATRANSCRIPTOMIC	anaerobe
SRR9006508	2011	06	24	6469479000	METAGENOMIC	anaerobe
SRR9006536	2011	06	24	6539913000	METATRANSCRIPTOMIC	anaerobe
SRR9006529	2011	07	01	6021810800	METAGENOMIC	anaerobe
SRR9006574	2011	07	01	7353357600	METATRANSCRIPTOMIC	anaerobe
SRR9006498	2011	07	08	6384804400	METATRANSCRIPTOMIC	anaerobe
SRR9006579	2011	07	08	4678335800	METAGENOMIC	anaerobe
SRR9006527	2011	08	05	5986133000	METAGENOMIC	anaerobe
SRR9006576	2011	08	05	7075661200	METATRANSCRIPTOMIC	anaerobe
SRR9006530	2011	08	11	5970568400	METAGENOMIC	anaerobe
SRR9006573	2011	08	11	8834881800	METATRANSCRIPTOMIC	anaerobe
SRR9006525	2011	08	19	5215094600	METAGENOMIC	anaerobe
SRR9006563	2011	08	19	5434371800	METATRANSCRIPTOMIC	anaerobe
SRR9006556	2011	08	29	6080621800	METAGENOMIC	anaerobe
SRR9006569	2011	08	29	5684247200	METATRANSCRIPTOMIC	anaerobe
SRR9006517	2011	09	05	5903033000	METATRANSCRIPTOMIC	anaerobe
SRR9006542	2011	09	05	6106532400	METAGENOMIC	anaerobe
SRR9006509	2011	09	12	5802844800	METAGENOMIC	anaerobe
SRR9006537	2011	09	12	7001596200	METATRANSCRIPTOMIC	anaerobe
SRR9006512	2011	09	19	6099984800	METATRANSCRIPTOMIC	anaerobe
SRR9006554	2011	09	19	5091207400	METAGENOMIC	anaerobe
SRR9006516	2011	09	28	6741796600	METATRANSCRIPTOMIC	anaerobe
SRR9006543	2011	09	28	5967835000	METAGENOMIC	anaerobe
SRR1611149	2011	10	05	5808461000	METAGENOMIC	aerobe
SRR1611150	2011	10	05	5927921800	METATRANSCRIPTOMIC	aerobe
SRR1544596	2011	10	12	5692025000	METAGENOMIC	aerobe
SRR1544599	2011	10	12	6378844400	METATRANSCRIPTOMIC	aerobe
SRR9006518	2011	11	02	6425518400	METATRANSCRIPTOMIC	anaerobe
SRR9006549	2011	11	02	4689723600	METAGENOMIC	anaerobe
SRR9006524	2011	11	07	5592696400	METAGENOMIC	anaerobe
SRR9006562	2011	11	07	4760627600	METATRANSCRIPTOMIC	anaerobe
SRR9006496	2011	11	16	6693914000	METATRANSCRIPTOMIC	anaerobe
SRR9006587	2011	11	16	6427804200	METAGENOMIC	anaerobe
SRR9006493	2011	11	23	7083660400	METATRANSCRIPTOMIC	anaerobe
SRR9006580	2011	11	23	5394659800	METAGENOMIC	anaerobe
SRR9006506	2011	11	29	5124316000	METAGENOMIC	anaerobe
SRR9006534	2011	11	29	6499999200	METATRANSCRIPTOMIC	anaerobe
SRR9006515	2011	12	21	6867319200	METATRANSCRIPTOMIC	anaerobe
SRR9006544	2011	12	21	5865918400	METAGENOMIC	anaerobe
SRR9006502	2011	12	28	6227629400	METAGENOMIC	anaerobe
SRR9006538	2011	12	28	6776600200	METATRANSCRIPTOMIC	anaerobe
SRR9006559	2012	01	03	4898761200	METAGENOMIC	anaerobe
SRR9006570	2012	01	03	4714205800	METATRANSCRIPTOMIC	anaerobe
SRR1611146	2012	01	11	6985761200	METAGENOMIC	aerobe
SRR1611147	2012	01	11	7570738400	METATRANSCRIPTOMIC	aerobe
SRR9006533	2012	01	19	6415606400	METATRANSCRIPTOMIC	anaerobe
SRR9006585	2012	01	19	5251356400	METAGENOMIC	anaerobe
SRR9006503	2012	01	25	6515259800	METAGENOMIC	anaerobe
SRR9006539	2012	01	25	7071220000	METATRANSCRIPTOMIC	anaerobe
SRR9006494	2012	02	01	6716669400	METATRANSCRIPTOMIC	anaerobe
SRR9006583	2012	02	01	5399029000	METAGENOMIC	anaerobe
SRR9006505	2012	02	08	6692542600	METAGENOMIC	anaerobe
SRR9006541	2012	02	08	6482859000	METATRANSCRIPTOMIC	anaerobe
SRR9006521	2012	02	14	6347065200	METATRANSCRIPTOMIC	anaerobe
SRR9006546	2012	02	14	5848568800	METAGENOMIC	anaerobe
SRR9006501	2012	02	23	6860249200	METATRANSCRIPTOMIC	anaerobe
SRR9006551	2012	02	23	4870094800	METAGENOMIC	anaerobe
SRR9006497	2012	02	29	7278900800	METATRANSCRIPTOMIC	anaerobe
SRR9006586	2012	02	29	6514813000	METAGENOMIC	anaerobe
SRR9006499	2012	03	08	6072547000	METATRANSCRIPTOMIC	anaerobe
SRR9006578	2012	03	08	4775227600	METAGENOMIC	anaerobe
SRR9006552	2012	03	14	6125233000	METAGENOMIC	anaerobe
SRR9006567	2012	03	14	5479285800	METATRANSCRIPTOMIC	anaerobe
SRR9006532	2012	03	22	7135439200	METATRANSCRIPTOMIC	anaerobe
SRR9006584	2012	03	22	5899156800	METAGENOMIC	anaerobe
SRR9006492	2012	03	28	7364117800	METATRANSCRIPTOMIC	anaerobe
SRR9006581	2012	03	28	5637239600	METAGENOMIC	anaerobe
SRR9006504	2012	04	04	4339923400	METAGENOMIC	anaerobe
SRR9006540	2012	04	04	6902956800	METATRANSCRIPTOMIC	anaerobe
SRR9006500	2012	04	10	6819535400	METATRANSCRIPTOMIC	anaerobe
SRR9006550	2012	04	10	6734253000	METAGENOMIC	anaerobe
SRR9006510	2012	04	17	6538571600	METAGENOMIC	anaerobe
SRR9006523	2012	04	17	6683630400	METATRANSCRIPTOMIC	anaerobe
SRR9006531	2012	04	25	4871822400	METAGENOMIC	anaerobe
SRR9006572	2012	04	25	6576438600	METATRANSCRIPTOMIC	anaerobe
SRR9006528	2012	05	03	5453467200	METAGENOMIC	anaerobe
SRR9006575	2012	05	03	6490106200	METATRANSCRIPTOMIC	anaerobe
