Date	Conductivity_manual_mS_cm	pH_manual	Temp_manual	Oxygen_manual_mg_L	Oxygen_sat_manual	Temp_Air	pH_online
2011-03-21	1065	7.22	13.6	0.28	2.8	8	6.939166667
2011-03-29	1047	7.01	13.3	0.63	6.2	10	6.993333333
2011-04-05	848	6.93	13.4	0.26	2.5	8	6.8725
2011-04-14	920	6.82	14.5	0.18	1.8	7	6.98
2011-04-21	1151	6.73	15.7	0.19	2	18	6.975833333
2011-04-29	950	6.93	15.7	0.45	4.4	15	6.95
2011-05-06	860	7.94	16.1	0.05	0.5	21	6.976666667
2011-05-13	624	6.83	17.4	0.17	1.8	17	6.934166667
2011-05-20	1051	6.76	17.6	0.3	3.2	20	6.951666667
2011-05-27	1162	6.78	17.5	0.24	2.5	12	7.015833333
2011-06-03	1041	6.64	18.3	0.18	2	20	6.684166667
2011-06-09	907	6.68	18.3	0.41	4.4	16	6.6525
2011-06-17	925	6.7	18.8	0.22	2.4	17	6.706666667
2011-06-24	976	6.78	17.9	0.19	2	12	6.683333333
2011-07-01	1178	6.7	19	0.25	2.7	14	6.649166667
2011-07-08	1153	6.76	19.8	0.18	2	19	6.785
2011-08-05	938	6.49	20	0.21	2.4	19	6.6
2011-08-11	1131	6.55	18.9	0.19	2.1	23	6.640833333
2011-08-19	1274	6.49	20.1	0.18	2.1	21	6.771666667
2011-08-29	988	6.64	19	0.26	2.8	13	6.650833333
2011-09-05	1219	6.69	20.2	0.12	1.4	18	6.723333333
2011-09-12	858	NA	19.2	0.21	2.4	15	6.648333333
2011-09-19	1030	NA	18.4	0.19	2.1	15	6.618333333
2011-09-28	1238	NA	19.5	0.18	2	17	6.7025
2011-10-05	1221	NA	19.7	0.21	2.1	17	6.7175
2011-10-12	1075	NA	17.9	0.22	2.4	12	6.66
2011-11-02	1087	NA	17.2	0.23	2.5	11	6.725833333
2011-11-07	1091	6.97	17.2	0.2	2.1	8	6.660833333
2011-11-16	1220	6.85	15.9	0.39	4	-1	6.714166667
2011-11-23	1145	6.81	16.2	0.44	4.6	8	6.716666667
2011-11-29	1195	7.02	15.7	0.21	2.2	4	6.730833333
2011-12-21	1114	6.97	11.1	0.23	2.1	1	6.801666667
2011-12-28	1063	7.07	12.3	0.2	1.9	2	6.806666667
2012-01-03	825	7.14	11.6	0.2	1.9	4	6.873333333
2012-01-11	958	6.96	11.5	0.22	2	8	6.863333333
2012-01-19	1157	6.97	12.1	0.38	3.6	8	6.813333333
2012-01-25	825	7.08	10.7	0.22	2.1	2	6.859166667
2012-02-01	1410	6.94	10.7	0.29	2.6	-7	6.813333333
2012-02-08	1196	6.89	10.6	0.28	2.5	-5	6.704166667
2012-02-14	800	6.94	11.2	0.2	1.9	1	6.675833333
2012-02-23	1144	6.84	10.6	0.24	2.2	3	6.734166667
2012-02-29	1064	6.94	11.8	0.35	3.3	9	6.830833333
2012-03-08	966	7.12	11	0.21	1.9	4	6.748333333
2012-03-14	727	7.18	12.2	0.3	2.8	4	6.986666667
2012-03-22	1127	6.91	12.8	0.23	2.2	17	6.9575
2012-03-28	1175	6.98	14.5	0.34	3.4	15	6.9925
2012-04-04	563	7.01	14	0.19	1.9	9	7.1675
2012-04-10	929	6.98	13.2	0.19	1.9	10	7.256666667
2012-04-17	1163	6.75	13.9	0.25	2.5	6	6.985
2012-04-25	938	7.05	12.7	0.19	1.8	6	7.021666667
2012-05-03	969	NA	13.4	0.21	2.1	11	7.150833333
